EPA Region,State,Lake Name,Site ID,EPA Sample ID,Species ID,Scientific Name,Common Name,Family,Niche,Analyte,Abbreviation,CAS Number,Amount,Units,MDL,QL,Lab Flag,SCC Code,Comment
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,alpha-Linolenic acid,ALA,463-40-1,,mg/g,0.100,0.200,U,RPDX,RPD high (45%).
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Docosahexaenoic acid,DHA,6217-54-5,1.200,mg/g,0.100,0.200,,RPDX,RPD high (24%).
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Docosapentaenoic acid,DPA,24880-45-3,,mg/g,0.100,0.200,U,RPDX,RPD high (59%).
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Eicosapentaenoic acid,EPA,10417-94-4,0.228,mg/g,0.100,0.200,,RPDX,RPD high (47%).
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Eicosatrienoic acid,ETE,2091-27-2,,mg/g,0.100,0.200,U,"RPDX, LSRM","One result in the pair was a non-detect and one was a detect. SRM 67% recovery. But, no ""certified"" value available for eicosatrienoic acid, only ""reference"" value; affect on results unlikely."
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,alpha-Linolenic acid,ALA,463-40-1,0.429,mg/g,0.100,0.200,,RPDX,RPD high (45%).
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Docosahexaenoic acid,DHA,6217-54-5,1.680,mg/g,0.100,0.200,,RPDX,RPD high (24%).
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Docosapentaenoic acid,DPA,24880-45-3,0.545,mg/g,0.100,0.200,,RPDX,RPD high (59%).
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Eicosapentaenoic acid,EPA,10417-94-4,0.844,mg/g,0.100,0.200,,RPDX,RPD high (47%).
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Eicosatrienoic acid,ETE,2091-27-2,,mg/g,0.100,0.200,U,"RPDX, LSRM","One result in the pair was a non-detect and one was a detect. SRM 67% recovery. But, no ""certified"" value available for eicosatrienoic acid, only ""reference"" value; affect on results unlikely."
5,IL,Lake Michigan,NCCAGL10-QLM-10-20,560212,560212.1,Salmo trutta,Brown trout,Salmonidae,P,alpha-Linolenic acid,ALA,463-40-1,0.943,mg/g,0.100,0.200,,RPDX,RPD high (55%)
5,IL,Lake Michigan,NCCAGL10-QLM-10-20,560212,560212.1,Salmo trutta,Brown trout,Salmonidae,P,Docosahexaenoic acid,DHA,6217-54-5,5.890,mg/g,0.100,0.200,,,
5,IL,Lake Michigan,NCCAGL10-QLM-10-20,560212,560212.1,Salmo trutta,Brown trout,Salmonidae,P,Docosapentaenoic acid,DPA,24880-45-3,1.690,mg/g,0.100,0.200,,RPDX,RPD high (42%)
5,IL,Lake Michigan,NCCAGL10-QLM-10-20,560212,560212.1,Salmo trutta,Brown trout,Salmonidae,P,Eicosapentaenoic acid,EPA,10417-94-4,1.630,mg/g,0.100,0.200,,RPDX,RPD high (31%)
5,IL,Lake Michigan,NCCAGL10-QLM-10-20,560212,560212.1,Salmo trutta,Brown trout,Salmonidae,P,Eicosatrienoic acid,ETE,2091-27-2,0.358,mg/g,0.100,0.200,,LSRM,"SRM 62.7% recovery. But, no ""certified"" value available for eicosatrienoic acid, only ""reference"" value; affect on results unlikely."
5,IN,Lake Michigan,NCCAGL10-1069,560204,560204.1,Aplodinotus grunniens,Freshwater drum,Sciaenidae,P,alpha-Linolenic acid,ALA,463-40-1,0.830,mg/g,0.100,0.200,,RPDX,RPD high (55%)
