EPA Region,State,Lake Name,Site ID,EPA Sample ID,Species ID,Scientific Name,Common Name,Family,Niche,Analyte,CAS Number,Amount,HH Screening Value,Over HH SV?,Unit 1,Unit 2,MDL,QL,Lab Qualifier Flag,SCC Code,Comments,Sort order
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Perfluorobutanoate (PFBA),375-22-4,,,,ng/g,ppb,0.065,1.000,U,,,1
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Perfluorobutane sulfonate (PFBS),375-73-5,,,,ng/g,ppb,0.100,1.000,U,,,2
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Perfluoropentanoate (PFPeA),2706-90-3,,,,ng/g,ppb,0.130,1.000,U,,,3
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Perfluorohexanoate (PFHxA),307-24-4,,,,ng/g,ppb,0.071,1.000,U,,,4
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Perfluorohexane sulfonate (PFHxS),355-46-4,,,,ng/g,ppb,0.120,1.000,U,,,5
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Perfluoroheptanoate (PFHpA),375-85-9,,,,ng/g,ppb,0.088,1.000,U,,,6
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Perfluorooctanoate (PFOA),335-67-1,,,,ng/g,ppb,0.100,1.000,U,,,7
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Perfluorooctanesulfonate (PFOS),1763-23-1,6.70,40,Does not exceed SV,ng/g,ppb,0.125,1.000,,,,8
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Perfluorooctane sulfonamide (PFOSA),754-91-6,,,,ng/g,ppb,0.080,1.000,U,,,9
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Perfluorononanoate (PFNA),375-95-1,,,,ng/g,ppb,0.083,1.000,U,,,10
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Perfluorodecanoate (PFDA),335-76-2,,,,ng/g,ppb,0.057,1.000,U,,,11
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Perfluoroundecanoate (PFUnA),2058-94-8,,,,ng/g,ppb,0.104,1.000,U,,,12
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Perfluorododecanoate (PFDoA),307-55-1,,,,ng/g,ppb,0.120,1.000,U,,,13
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Perfluorobutanoate (PFBA),375-22-4,,,,ng/g,ppb,0.065,1.000,J B,"B, RNON","Blank Contamination, Result Reported as a Non-detect",1
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Perfluorobutane sulfonate (PFBS),375-73-5,,,,ng/g,ppb,0.100,1.000,U,,,2
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Perfluoropentanoate (PFPeA),2706-90-3,,,,ng/g,ppb,0.130,1.000,U,,,3
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Perfluorohexanoate (PFHxA),307-24-4,,,,ng/g,ppb,0.071,1.000,U,,,4
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Perfluorohexane sulfonate (PFHxS),355-46-4,,,,ng/g,ppb,0.120,1.000,U,,,5
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Perfluoroheptanoate (PFHpA),375-85-9,,,,ng/g,ppb,0.088,1.000,U,,,6
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Perfluorooctanoate (PFOA),335-67-1,,,,ng/g,ppb,0.100,1.000,U,,,7
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Perfluorooctanesulfonate (PFOS),1763-23-1,7.40,40,Does not exceed SV,ng/g,ppb,0.125,1.000,,,,8
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Perfluorooctane sulfonamide (PFOSA),754-91-6,,,,ng/g,ppb,0.080,1.000,U,,,9
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Perfluorononanoate (PFNA),375-95-1,,,,ng/g,ppb,0.083,1.000,U,,,10
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Perfluorodecanoate (PFDA),335-76-2,,,,ng/g,ppb,0.057,1.000,U,,,11
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Perfluoroundecanoate (PFUnA),2058-94-8,,,,ng/g,ppb,0.104,1.000,U,,,12
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Perfluorododecanoate (PFDoA),307-55-1,,,,ng/g,ppb,0.120,1.000,U,,,13
5,IL,Lake Michigan,NCCAGL10-QLM-10-20,560212,560212.1,Salmo trutta,Brown trout,Salmonidae,P,Perfluorobutanoate (PFBA),375-22-4,,,,ng/g,ppb,0.065,1.000,J B,"B, RNON","Blank Contamination, Result Reported as a Non-detect",1
5,IL,Lake Michigan,NCCAGL10-QLM-10-20,560212,560212.1,Salmo trutta,Brown trout,Salmonidae,P,Perfluorobutane sulfonate (PFBS),375-73-5,,,,ng/g,ppb,0.100,1.000,U,,,2
5,IL,Lake Michigan,NCCAGL10-QLM-10-20,560212,560212.1,Salmo trutta,Brown trout,Salmonidae,P,Perfluoropentanoate (PFPeA),2706-90-3,0.31,,,ng/g,ppb,0.130,1.000,J,,,3
5,IL,Lake Michigan,NCCAGL10-QLM-10-20,560212,560212.1,Salmo trutta,Brown trout,Salmonidae,P,Perfluorohexanoate (PFHxA),307-24-4,,,,ng/g,ppb,0.071,1.000,U,,,4
5,IL,Lake Michigan,NCCAGL10-QLM-10-20,560212,560212.1,Salmo trutta,Brown trout,Salmonidae,P,Perfluorohexane sulfonate (PFHxS),355-46-4,1.20,,,ng/g,ppb,0.120,1.000,,,,5
5,IL,Lake Michigan,NCCAGL10-QLM-10-20,560212,560212.1,Salmo trutta,Brown trout,Salmonidae,P,Perfluoroheptanoate (PFHpA),375-85-9,,,,ng/g,ppb,0.088,1.000,U,,,6
5,IL,Lake Michigan,NCCAGL10-QLM-10-20,560212,560212.1,Salmo trutta,Brown trout,Salmonidae,P,Perfluorooctanoate (PFOA),335-67-1,,,,ng/g,ppb,0.100,1.000,U,,,7
5,IL,Lake Michigan,NCCAGL10-QLM-10-20,560212,560212.1,Salmo trutta,Brown trout,Salmonidae,P,Perfluorooctanesulfonate (PFOS),1763-23-1,19.00,40,Does not exceed SV,ng/g,ppb,0.125,1.000,,,,8
5,IL,Lake Michigan,NCCAGL10-QLM-10-20,560212,560212.1,Salmo trutta,Brown trout,Salmonidae,P,Perfluorooctane sulfonamide (PFOSA),754-91-6,0.65,,,ng/g,ppb,0.080,1.000,J,LLBL,Low Labeled Compound Recovery,9
5,IL,Lake Michigan,NCCAGL10-QLM-10-20,560212,560212.1,Salmo trutta,Brown trout,Salmonidae,P,Perfluorononanoate (PFNA),375-95-1,0.17,,,ng/g,ppb,0.083,1.000,J,,,10
