EPA Region,State,Lake,Site ID,EPA Sample ID,Species ID,Scientific Name,Common Name,Family,Niche,Lipid (%),Analyte,CAS Number,Amount,Unit 1,Unit 2,MDL,QL,Lab Qualifier Flag,SCC Code,Comments,Sort Order
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-1,2051-60-7,0.00284,ng/g,ppb,0.000059,0.000498,,,,1
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-2,2051-61-8,0.000269,ng/g,ppb,0.000091,0.000498,J,J,Estimated,2
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-3,2051-62-9,0.000683,ng/g,ppb,0.000098,0.000498,,,,3
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-4,13029-08-8,0.0176,ng/g,ppb,0.000101,0.0005,,,,4
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-5,16605-91-7,0.000497,ng/g,ppb,0.000068,0.000498,J,J,Estimated,5
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-6,25569-80-6,0.00527,ng/g,ppb,0.000111,0.0005,,,,6
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-7,33284-50-3,,ng/g,ppb,0.000086,0.000498,U,,,7
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-8,34883-43-7,0.0212,ng/g,ppb,0.000098,0.0005,,,,8
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-9,34883-39-1,0.00156,ng/g,ppb,0.000101,0.000498,,,,9
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-10,33146-45-1,0.000848,ng/g,ppb,0.00008,0.000498,,,,10
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-11,2050-67-1,0.0067,ng/g,ppb,0.000331,0.000499,B,"B, RMAX","Blank Contamination, Result is a Maximum Value",11
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-12/PCB-13,,0.000433,ng/g,ppb,0.000198,0.000996,J,J,Estimated,12
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-14,34883-41-5,,ng/g,ppb,0.000094,0.000498,U,,,13
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-15,2050-68-2,0.00358,ng/g,ppb,0.000132,0.000499,,,,14
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-16,38444-78-9,0.0335,ng/g,ppb,0.000166,0.000499,,,,15
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-17,37680-66-3,0.0322,ng/g,ppb,0.000072,0.000499,,,,16
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-18/PCB-30,,0.0902,ng/g,ppb,0.000167,0.000997,,,,17
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-19,38444-73-4,0.0123,ng/g,ppb,0.000145,0.000499,,,,18
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-20/PCB-28,,0.172,ng/g,ppb,0.000227,0.000997,,,,19
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-21/PCB-33,,0.0264,ng/g,ppb,0.000202,0.000997,,,,20
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-22,38444-85-8,0.0286,ng/g,ppb,0.000109,0.000499,,,,21
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-23,55720-44-0,0.000207,ng/g,ppb,0.000101,0.000498,J,J,Estimated,22
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-24,55702-45-9,0.00125,ng/g,ppb,0.000128,0.000498,,,,23
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-25,55712-37-3,0.0117,ng/g,ppb,0.000086,0.000499,,,,24
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-26/PCB-29,,0.0275,ng/g,ppb,0.000198,0.000997,,,,25
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-27,38444-76-7,0.00983,ng/g,ppb,0.000093,0.000499,,,,26
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-31,16606-02-3,0.107,ng/g,ppb,0.000142,0.000499,,,,27
