Lake,State,SITEID,Latitude,Longitude,,,,,,
LakeErie,MI,NGL20_MI-10001,41.855488,-83.371811,,,,,,
LakeErie,MI,NGL20_MI-10002,41.978389,-83.226068,,,,,,
LakeErie,MI,NGL20_MI-10003,41.775408,-83.424598,,,,,,
LakeErie,MI,NGL20_MI-10004,41.928531,-83.250994,,,,,,
LakeErie,MI,NGL20_MI-10005,41.920233,-83.297047,,,,,,
LakeErie,MI,NGL20_MI-10006,41.739698,-83.421714,,,,,,
LakeErie,NY,NGL20_NY-10001,42.732124,-78.970972,,,,,,
LakeErie,NY,NGL20_NY-10002,42.538288,-79.275335,,,,,,
LakeErie,NY,NGL20_NY-10003,42.681456,-79.086131,,,,,,
LakeErie,NY,NGL20_NY-10004,42.504435,-79.383478,,,,,,
LakeErie,NY,NGL20_NY-10005,42.753035,-78.929682,,,,,,
LakeErie,NY,NGL20_NY-10006,42.645265,-79.138888,,,,,,
LakeErie,NY,NGL20_NY-10007,42.771058,-78.910310,,,,,,
LakeErie,NY,NGL20_NY-10008,42.318041,-79.692515,,,,,,
LakeErie,NY,NGL20_NY-10009,42.358800,-79.581425,,,,,,
LakeErie,NY,NGL20_NY-10010,42.566027,-79.158291,,,,,,
LakeErie,NY,NGL20_NY-10011,42.730634,-79.073758,,,,,,
LakeErie,OH,NGL20_OH-10001,41.746250,-83.379173,,,,,,
LakeErie,OH,NGL20_OH-10002,41.510475,-82.139115,,,,,,
LakeErie,OH,NGL20_OH-10003,41.500632,-82.214543,,,,,,
LakeErie,OH,NGL20_OH-10004,41.975683,-80.615216,,,,,,
LakeErie,OH,NGL20_OH-10005,41.633941,-83.168247,,,,,,
LakeErie,OH,NGL20_OH-10006,41.428897,-82.581778,,,,,,
LakeErie,OH,NGL20_OH-10007,41.488651,-81.741749,,,,,,
LakeErie,OH,NGL20_OH-10008,41.566691,-82.765201,,,,,,
LakeErie,OH,NGL20_OH-10009,41.779146,-81.271315,,,,,,
LakeErie,OH,NGL20_OH-10010,41.919821,-80.859975,,,,,,
LakeErie,OH,NGL20_OH-10011,41.712038,-83.249070,,,,,,
LakeErie,OH,NGL20_OH-10012,41.552818,-82.700842,,,,,,
LakeErie,OH,NGL20_OH-10013,41.472286,-82.692721,,,,,,
LakeErie,OH,NGL20_OH-10014,41.837711,-81.051557,,,,,,
LakeErie,OH,NGL20_OH-10015,41.426038,-82.438730,,,,,,
LakeErie,OH,NGL20_OH-10016,41.549394,-82.924082,,,,,,
LakeErie,OH,NGL20_OH-10017,41.961265,-80.629612,,,,,,
LakeErie,OH,NGL20_OH-10018,41.516712,-81.951277,,,,,,
LakeErie,OH,NGL20_OH-10019,41.569624,-82.744472,,,,,,
LakeErie,OH,NGL20_OH-10020,41.668449,-81.492888,,,,,,
LakeErie,OH,NGL20_OH-10021,41.495360,-81.733241,,,,,,
