"","State","Lake.Name","Scientific.Name","Common.Name","Family","Niche","Analyte","Abbreviation","Amount","Units"
"1","IL","Lake Michigan","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","alpha-Linolenic acid","ALA",NA,"mg/g"
"2","IL","Lake Michigan","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Docosahexaenoic acid","DHA",1.2,"mg/g"
"3","IL","Lake Michigan","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Docosapentaenoic acid","DPA",NA,"mg/g"
"4","IL","Lake Michigan","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Eicosapentaenoic acid","EPA",0.228,"mg/g"
"5","IL","Lake Michigan","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Eicosatrienoic acid","ETE",NA,"mg/g"
"6","IL","Lake Michigan","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","alpha-Linolenic acid","ALA",0.429,"mg/g"
"7","IL","Lake Michigan","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Docosahexaenoic acid","DHA",1.68,"mg/g"
"8","IL","Lake Michigan","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Docosapentaenoic acid","DPA",0.545,"mg/g"
"9","IL","Lake Michigan","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Eicosapentaenoic acid","EPA",0.844,"mg/g"
"10","IL","Lake Michigan","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Eicosatrienoic acid","ETE",NA,"mg/g"
"11","IL","Lake Michigan","Salmo trutta","Brown trout","Salmonidae","P","alpha-Linolenic acid","ALA",0.943,"mg/g"
"12","IL","Lake Michigan","Salmo trutta","Brown trout","Salmonidae","P","Docosahexaenoic acid","DHA",5.89,"mg/g"
"13","IL","Lake Michigan","Salmo trutta","Brown trout","Salmonidae","P","Docosapentaenoic acid","DPA",1.69,"mg/g"
"14","IL","Lake Michigan","Salmo trutta","Brown trout","Salmonidae","P","Eicosapentaenoic acid","EPA",1.63,"mg/g"
"15","IL","Lake Michigan","Salmo trutta","Brown trout","Salmonidae","P","Eicosatrienoic acid","ETE",0.358,"mg/g"
"16","IN","Lake Michigan","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","alpha-Linolenic acid","ALA",0.83,"mg/g"
"17","IN","Lake Michigan","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Docosahexaenoic acid","DHA",1.91,"mg/g"
"18","IN","Lake Michigan","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Docosapentaenoic acid","DPA",1.45,"mg/g"
"19","IN","Lake Michigan","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Eicosapentaenoic acid","EPA",1.39,"mg/g"
