"","State","Lake.Name","Scientific.Name","Common.Name","Family","Niche","Analyte","Amount","Unit.1","Unit.2","Year"
"1","IL","Lake Michigan","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Mercury",74.9,"ng/g","ppb",2010
"2","IL","Lake Michigan","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Mercury",52.6,"ng/g","ppb",2010
"3","IL","Lake Michigan","Salmo trutta","Brown trout","Salmonidae","P","Mercury",103,"ng/g","ppb",2010
"4","IN","Lake Michigan","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Mercury",263,"ng/g","ppb",2010
"5","IN","Lake Michigan","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Mercury",43.1,"ng/g","ppb",2010
"6","MI","Lake Superior","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Mercury",58.4,"ng/g","ppb",2010
"7","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",124,"ng/g","ppb",2010
"8","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",518,"ng/g","ppb",2010
"9","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",161,"ng/g","ppb",2010
"10","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",76.6,"ng/g","ppb",2010
"11","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",300,"ng/g","ppb",2010
"12","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",300,"ng/g","ppb",2010
"13","MI","Lake Superior","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Mercury",226,"ng/g","ppb",2010
"14","MI","Lake Superior","Salvelinus fontinalis X Salvelinus namaycush","Splake","Salmonidae","P","Mercury",77.5,"ng/g","ppb",2010
"15","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",71.6,"ng/g","ppb",2010
"16","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",187,"ng/g","ppb",2010
"17","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",325,"ng/g","ppb",2010
"18","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",201,"ng/g","ppb",2010
"19","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",158,"ng/g","ppb",2010
"20","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",487,"ng/g","ppb",2010
"21","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",218,"ng/g","ppb",2010
"22","MI","Lake Superior","Prosopium cylindraceum","Round whitefish","Salmonidae","BD","Mercury",60.1,"ng/g","ppb",2010
"23","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",279,"ng/g","ppb",2010
"24","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",86.2,"ng/g","ppb",2010
"25","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",478,"ng/g","ppb",2010
"26","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",92.4,"ng/g","ppb",2010
"27","MI","Lake Superior","Salmo trutta","Brown trout","Salmonidae","P","Mercury",94.1,"ng/g","ppb",2010
"28","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",270,"ng/g","ppb",2010
"29","MI","Lake Michigan","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Mercury",88.2,"ng/g","ppb",2010
"30","MI","Lake Michigan","Prosopium cylindraceum","Round whitefish","Salmonidae","BD","Mercury",61.2,"ng/g","ppb",2010
"31","MI","Lake Michigan","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",86.2,"ng/g","ppb",2010
"32","MI","Lake Michigan","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",146,"ng/g","ppb",2010
"33","MI","Lake Michigan","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Mercury",39.6,"ng/g","ppb",2010
"34","MI","Lake Michigan","Esox lucius","Northern pike","Esocidae","P","Mercury",89.7,"ng/g","ppb",2010
"35","MI","Lake Michigan","Catostomus commersonii","White sucker","Catostomidae","BD","Mercury",48.2,"ng/g","ppb",2010
"36","MI","Lake Michigan","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",178,"ng/g","ppb",2010
"37","MI","Lake Michigan","Sander vitreus","Walleye","Percidae","P","Mercury",273,"ng/g","ppb",2010
"38","MI","Lake Michigan","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Mercury",48.3,"ng/g","ppb",2010
"39","MI","Lake Michigan","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Mercury",38.7,"ng/g","ppb",2010
"40","MI","Lake Michigan","Oncorhynchus kisutch","Coho salmon","Salmonidae","P","Mercury",92.4,"ng/g","ppb",2010
"41","MI","Lake Michigan","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Mercury",155,"ng/g","ppb",2010
"42","MI","Lake Michigan","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",201,"ng/g","ppb",2010
"43","MI","Lake Michigan","Sander vitreus","Walleye","Percidae","P","Mercury",386,"ng/g","ppb",2010
"44","MI","Lake Michigan","Sander vitreus","Walleye","Percidae","P","Mercury",780,"ng/g","ppb",2010
"45","MI","Lake Michigan","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Mercury",160,"ng/g","ppb",2010
"46","MI","Lake Michigan","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Mercury",37.9,"ng/g","ppb",2010
"47","MI","Lake Michigan","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Mercury",140,"ng/g","ppb",2010
"48","MI","Lake Michigan","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Mercury",140,"ng/g","ppb",2010
"49","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Mercury",203,"ng/g","ppb",2010
"50","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",130,"ng/g","ppb",2010
"51","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",295,"ng/g","ppb",2010
"52","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",132,"ng/g","ppb",2010
"53","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",250,"ng/g","ppb",2010
"54","MI","Lake Huron","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Mercury",74.1,"ng/g","ppb",2010
"55","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",126,"ng/g","ppb",2010
"56","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",246,"ng/g","ppb",2010
"57","MI","Lake Huron","Ictalurus punctatus","Channel catfish","Ictaluridae","BD","Mercury",185,"ng/g","ppb",2010
"58","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",222,"ng/g","ppb",2010
"59","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",101,"ng/g","ppb",2010
"60","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",130,"ng/g","ppb",2010
"61","MI","Lake Huron","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Mercury",93.2,"ng/g","ppb",2010
"62","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",245,"ng/g","ppb",2010
"63","MI","Lake Huron","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Mercury",262,"ng/g","ppb",2010
"64","MI","Lake Huron","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Mercury",77.7,"ng/g","ppb",2010
"65","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",154,"ng/g","ppb",2010
"66","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",285,"ng/g","ppb",2010
"67","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",259,"ng/g","ppb",2010
"68","MI","Lake Huron","Salmo trutta","Brown trout","Salmonidae","P","Mercury",103,"ng/g","ppb",2010
"69","MI","Lake Huron","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Mercury",599,"ng/g","ppb",2010
"70","MI","Lake Huron","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Mercury",105,"ng/g","ppb",2010
"71","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",123,"ng/g","ppb",2010
"72","MI","Lake Huron","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Mercury",89,"ng/g","ppb",2010
"73","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",100,"ng/g","ppb",2010
"74","MI","Lake Huron","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Mercury",114,"ng/g","ppb",2010
"75","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",188,"ng/g","ppb",2010
"76","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",280,"ng/g","ppb",2010
"77","MI","Lake Erie","Morone americana","White perch","Moronidae","P","Mercury",140,"ng/g","ppb",2010
"78","MI","Lake Erie","Morone americana","White perch","Moronidae","P","Mercury",128,"ng/g","ppb",2010
"79","MI","Lake Erie","Morone americana","White perch","Moronidae","P","Mercury",142,"ng/g","ppb",2010
"80","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",149,"ng/g","ppb",2010
"81","MN","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",65,"ng/g","ppb",2010
"82","MN","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",113,"ng/g","ppb",2010
"83","MN","Lake Superior","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Mercury",216,"ng/g","ppb",2010
"84","MN","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",73.4,"ng/g","ppb",2010
"85","MN","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",57.4,"ng/g","ppb",2010
"86","MN","Lake Superior","Prosopium cylindraceum","Round whitefish","Salmonidae","BD","Mercury",22.8,"ng/g","ppb",2010
"87","MN","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",104,"ng/g","ppb",2010
"88","NY","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",98,"ng/g","ppb",2010
"89","NY","Lake Erie","Sander vitreus","Walleye","Percidae","P","Mercury",111,"ng/g","ppb",2010
"90","NY","Lake Erie","Sander vitreus","Walleye","Percidae","P","Mercury",151,"ng/g","ppb",2010
"91","NY","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",121,"ng/g","ppb",2010
"92","NY","Lake Erie","Perca flavescens","Yellow perch","Percidae","P","Mercury",128,"ng/g","ppb",2010
"93","NY","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",96,"ng/g","ppb",2010
"94","NY","Lake Erie","Sander vitreus","Walleye","Percidae","P","Mercury",263,"ng/g","ppb",2010
"95","NY","Lake Ontario","Esox niger","Chain pickerel","Esocidae","P","Mercury",607,"ng/g","ppb",2010
"96","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",150,"ng/g","ppb",2010
"97","NY","Lake Ontario","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",166,"ng/g","ppb",2010
"98","NY","Lake Ontario","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",139,"ng/g","ppb",2010
"99","NY","Lake Ontario","Sander vitreus","Walleye","Percidae","P","Mercury",505,"ng/g","ppb",2010
"100","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",156,"ng/g","ppb",2010
"101","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",338,"ng/g","ppb",2010
"102","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",403,"ng/g","ppb",2010
"103","NY","Lake Ontario","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",133,"ng/g","ppb",2010
"104","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",188,"ng/g","ppb",2010
"105","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",356,"ng/g","ppb",2010
"106","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",248,"ng/g","ppb",2010
"107","NY","Lake Ontario","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Mercury",48.4,"ng/g","ppb",2010
"108","NY","Lake Ontario","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",204,"ng/g","ppb",2010
"109","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",219,"ng/g","ppb",2010
"110","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",344,"ng/g","ppb",2010
"111","NY","Lake Ontario","Sander vitreus","Walleye","Percidae","P","Mercury",416,"ng/g","ppb",2010
"112","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",260,"ng/g","ppb",2010
"113","NY","Lake Ontario","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Mercury",164,"ng/g","ppb",2010
"114","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",410,"ng/g","ppb",2010
"115","NY","Lake Ontario","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Mercury",308,"ng/g","ppb",2010
"116","NY","Lake Ontario","Perca flavescens","Yellow perch","Percidae","P","Mercury",87.1,"ng/g","ppb",2010
"117","NY","Lake Ontario","Sander vitreus","Walleye","Percidae","P","Mercury",389,"ng/g","ppb",2010
"118","NY","Lake Ontario","Perca flavescens","Yellow perch","Percidae","P","Mercury",169,"ng/g","ppb",2010
