"","State","Lake","Scientific.Name","Common.Name","Family","Niche","Analyte","Amount","Unit.1","Unit.2"
"1","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Decanoic acid",NA,"ug/g","ppm"
"2","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Undecanoic acid",NA,"ug/g","ppm"
"3","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Dodecanoic acid",NA,"ug/g","ppm"
"4","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Tridecanoic acid",NA,"ug/g","ppm"
"5","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Myristic acid",174.55,"ug/g","ppm"
"6","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Myristoleic acid",16.02,"ug/g","ppm"
"7","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Pentadecanoic acid",36.38,"ug/g","ppm"
"8","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","cis-10-Pentadecenoic acid",NA,"ug/g","ppm"
"9","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Palmitic acid",1848.55,"ug/g","ppm"
"10","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","cis-7-Hexadecenoic acid",773.14,"ug/g","ppm"
"11","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Heptadecanoic acid",75.57,"ug/g","ppm"
"12","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","cis-10-Heptadecenoic acid",NA,"ug/g","ppm"
"13","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Stearic acid",527.44,"ug/g","ppm"
"14","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Oleic acid",729.8,"ug/g","ppm"
"15","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Elaidic acid",NA,"ug/g","ppm"
"16","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","cis-Vaccenic acid",478.36,"ug/g","ppm"
"17","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Linoleic acid",129.91,"ug/g","ppm"
"18","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Linolelaidic acid",NA,"ug/g","ppm"
"19","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Linolenic acid",NA,"ug/g","ppm"
"20","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","gamma-Linolenic acid",23.32,"ug/g","ppm"
"21","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Octadecatetraenoic acid",NA,"ug/g","ppm"
"22","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Arachidic acid",13.59,"ug/g","ppm"
"23","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Eicosenoic acid",NA,"ug/g","ppm"
"24","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Eicosadienoic acid",24.34,"ug/g","ppm"
"25","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Eicosatrienoic acid",NA,"ug/g","ppm"
"26","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Dihomo-gamma-linolenic acid",23.92,"ug/g","ppm"
"27","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Arachidonic acid",589.05,"ug/g","ppm"
"28","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Eicosapentaenoic acid",1011.62,"ug/g","ppm"
"29","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Heneicosanoic acid",NA,"ug/g","ppm"
