"","State","Lake","Scientific.Name","Common.Name","Family","Niche","Analyte","Amount","Unit.1","Unit.2"
"1","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Total PCBs",15.84,"ng/g","ppb"
"2","MI","Lake Erie","Morone americana","White perch","Moronidae","P","Total PCBs",385.29,"ng/g","ppb"
"3","MI","Lake Erie","Morone chrysops","White bass","Moronidae","P","Total PCBs",576.67,"ng/g","ppb"
"4","MI","Lake Huron","Morone americana","White perch","Moronidae","P","Total PCBs",431.62,"ng/g","ppb"
"5","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",153.02,"ng/g","ppb"
"6","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",449.04,"ng/g","ppb"
"7","MI","Lake Huron","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Total PCBs",113.82,"ng/g","ppb"
"8","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",215.25,"ng/g","ppb"
"9","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Total PCBs",34.48,"ng/g","ppb"
"10","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",112.32,"ng/g","ppb"
"11","MI","Lake Huron","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Total PCBs",30.34,"ng/g","ppb"
"12","MI","Lake Huron","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Total PCBs",78.15,"ng/g","ppb"
"13","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Total PCBs",214.81,"ng/g","ppb"
"14","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",64.56,"ng/g","ppb"
"15","MI","Lake Huron","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Total PCBs",15.17,"ng/g","ppb"
"16","MI","Lake Huron","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Total PCBs",81.58,"ng/g","ppb"
"17","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",150.61,"ng/g","ppb"
"18","MI","Lake Michigan","Catostomus commersonii","White sucker","Catostomidae","BD","Total PCBs",7.93,"ng/g","ppb"
"19","MI","Lake Michigan","Oncorhynchus kisutch","Coho salmon","Salmonidae","P","Total PCBs",55.38,"ng/g","ppb"
"20","MI","Lake Michigan","Catostomus commersonii","White sucker","Catostomidae","BD","Total PCBs",5.21,"ng/g","ppb"
"21","MI","Lake Michigan","Catostomus commersonii","White sucker","Catostomidae","BD","Total PCBs",15.49,"ng/g","ppb"
"22","MI","Lake Michigan","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",325.57,"ng/g","ppb"
"23","MI","Lake Michigan","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Total PCBs",265.14,"ng/g","ppb"
"24","MI","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Total PCBs",8.52,"ng/g","ppb"
"25","MI","Lake Michigan","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Total PCBs",176.27,"ng/g","ppb"
"26","MI","Lake Michigan","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Total PCBs",4.07,"ng/g","ppb"
"27","MI","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Total PCBs",10.95,"ng/g","ppb"
"28","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",46.26,"ng/g","ppb"
"29","MI","Lake Superior","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Total PCBs",10.8,"ng/g","ppb"
"30","MI","Lake Superior","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Total PCBs",13.34,"ng/g","ppb"
"31","MI","Lake Superior","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Total PCBs",21.61,"ng/g","ppb"
"32","MI","Lake Superior","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Total PCBs",4.97,"ng/g","ppb"
"33","MI","Lake Superior","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Total PCBs",10.58,"ng/g","ppb"
"34","MI","Lake Superior","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Total PCBs",15.37,"ng/g","ppb"
"35","MI","Lake Superior","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Total PCBs",32.54,"ng/g","ppb"
"36","MI","Lake Superior","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Total PCBs",8.28,"ng/g","ppb"
"37","MI","Lake Superior","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Total PCBs",28.48,"ng/g","ppb"
"38","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",38.33,"ng/g","ppb"
"39","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",42.51,"ng/g","ppb"
"40","MI","Lake Superior","Coregonus clupeaformis","Lake whitefish","Salmonidae","","Total PCBs",6.49,"ng/g","ppb"
"41","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",45.75,"ng/g","ppb"
"42","MI","Lake Superior","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Total PCBs",3.32,"ng/g","ppb"
"43","MI","Lake Superior","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Total PCBs",18.35,"ng/g","ppb"
"44","MI","Lake Superior","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Total PCBs",19.12,"ng/g","ppb"
"45","MI","Lake Superior","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Total PCBs",32.57,"ng/g","ppb"
"46","MI","Lake Superior","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Total PCBs",11.99,"ng/g","ppb"
"47","MI","Lake Superior","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Total PCBs",6.04,"ng/g","ppb"
"48","MI","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Total PCBs",50.39,"ng/g","ppb"
"49","MI","Lake Michigan","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",369.42,"ng/g","ppb"
"50","MI","Lake Michigan","Sander vitreus","Walleye","Percidae","P","Total PCBs",101.58,"ng/g","ppb"
"51","MI","Lake Michigan","Sander vitreus","Walleye","Percidae","P","Total PCBs",49.01,"ng/g","ppb"
"52","MI","Lake Michigan","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",341.36,"ng/g","ppb"
"53","MI","Lake Michigan","Catostomus commersonii","White sucker","Catostomidae","BD","Total PCBs",11.25,"ng/g","ppb"
"54","MI","Lake Michigan","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Total PCBs",162.64,"ng/g","ppb"
"55","MI","Lake Michigan","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",166.9,"ng/g","ppb"
"56","MI","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Total PCBs",22.38,"ng/g","ppb"
"57","MI","Lake Huron","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Total PCBs",50.86,"ng/g","ppb"
"58","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",58.8,"ng/g","ppb"
"59","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Total PCBs",66.4,"ng/g","ppb"
"60","MI","Lake Huron","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Total PCBs",172.4,"ng/g","ppb"
