"","State","Lake","Scientific.Name","Common.Name","Family","Niche","Analyte","Amount","Unit.1","Unit.2","Year"
"1","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Perfluorobutanoate (PFBA)",NA,"ng/g","ppb",2015
"2","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Perfluoropentanoate (PFPeA)",NA,"ng/g","ppb",2015
"3","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Perfluorohexanoate (PFHxA)",NA,"ng/g","ppb",2015
"4","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Perfluoroheptanoate (PFHpA)",NA,"ng/g","ppb",2015
"5","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Perfluorooctanoate (PFOA)",NA,"ng/g","ppb",2015
"6","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Perfluorononanoate (PFNA)",NA,"ng/g","ppb",2015
"7","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Perfluorodecanoate (PFDA)",0.83,"ng/g","ppb",2015
"8","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Perfluoroundecanoate (PFUnA)",1.04,"ng/g","ppb",2015
"9","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Perfluorododecanoate (PFDoA)",0.56,"ng/g","ppb",2015
"10","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Perfluorobutane sulfonate (PFBS)",NA,"ng/g","ppb",2015
"11","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Perfluorohexane sulfonate (PFHxS)",NA,"ng/g","ppb",2015
"12","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Perfluorooctanesulfonate (PFOS)",12.5,"ng/g","ppb",2015
"13","IN","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Perfluorooctane sulfonamide (PFOSA)",NA,"ng/g","ppb",2015
"14","MI","Lake Erie","Morone americana","White perch","Moronidae","P","Perfluorobutanoate (PFBA)",NA,"ng/g","ppb",2015
"15","MI","Lake Erie","Morone americana","White perch","Moronidae","P","Perfluoropentanoate (PFPeA)",NA,"ng/g","ppb",2015
"16","MI","Lake Erie","Morone americana","White perch","Moronidae","P","Perfluorohexanoate (PFHxA)",NA,"ng/g","ppb",2015
"17","MI","Lake Erie","Morone americana","White perch","Moronidae","P","Perfluoroheptanoate (PFHpA)",NA,"ng/g","ppb",2015
"18","MI","Lake Erie","Morone americana","White perch","Moronidae","P","Perfluorooctanoate (PFOA)",0.27,"ng/g","ppb",2015
"19","MI","Lake Erie","Morone americana","White perch","Moronidae","P","Perfluorononanoate (PFNA)",0.17,"ng/g","ppb",2015
"20","MI","Lake Erie","Morone americana","White perch","Moronidae","P","Perfluorodecanoate (PFDA)",5.07,"ng/g","ppb",2015
"21","MI","Lake Erie","Morone americana","White perch","Moronidae","P","Perfluoroundecanoate (PFUnA)",3.99,"ng/g","ppb",2015
"22","MI","Lake Erie","Morone americana","White perch","Moronidae","P","Perfluorododecanoate (PFDoA)",1.06,"ng/g","ppb",2015
"23","MI","Lake Erie","Morone americana","White perch","Moronidae","P","Perfluorobutane sulfonate (PFBS)",NA,"ng/g","ppb",2015
"24","MI","Lake Erie","Morone americana","White perch","Moronidae","P","Perfluorohexane sulfonate (PFHxS)",NA,"ng/g","ppb",2015
"25","MI","Lake Erie","Morone americana","White perch","Moronidae","P","Perfluorooctanesulfonate (PFOS)",64.4,"ng/g","ppb",2015
"26","MI","Lake Erie","Morone americana","White perch","Moronidae","P","Perfluorooctane sulfonamide (PFOSA)",NA,"ng/g","ppb",2015
"27","MI","Lake Erie","Morone chrysops","White bass","Moronidae","P","Perfluorobutanoate (PFBA)",NA,"ng/g","ppb",2015
"28","MI","Lake Erie","Morone chrysops","White bass","Moronidae","P","Perfluoropentanoate (PFPeA)",1.13,"ng/g","ppb",2015
"29","MI","Lake Erie","Morone chrysops","White bass","Moronidae","P","Perfluorohexanoate (PFHxA)",NA,"ng/g","ppb",2015
"30","MI","Lake Erie","Morone chrysops","White bass","Moronidae","P","Perfluoroheptanoate (PFHpA)",NA,"ng/g","ppb",2015
"31","MI","Lake Erie","Morone chrysops","White bass","Moronidae","P","Perfluorooctanoate (PFOA)",NA,"ng/g","ppb",2015
"32","MI","Lake Erie","Morone chrysops","White bass","Moronidae","P","Perfluorononanoate (PFNA)",1.81,"ng/g","ppb",2015
"33","MI","Lake Erie","Morone chrysops","White bass","Moronidae","P","Perfluorodecanoate (PFDA)",4.15,"ng/g","ppb",2015
"34","MI","Lake Erie","Morone chrysops","White bass","Moronidae","P","Perfluoroundecanoate (PFUnA)",3.8,"ng/g","ppb",2015
"35","MI","Lake Erie","Morone chrysops","White bass","Moronidae","P","Perfluorododecanoate (PFDoA)",1.68,"ng/g","ppb",2015
