"","State","Lake","Scientific.Name","Common.Name","Family","Niche","Analyte","Amount","Units.1","Units.2","Year"
"1","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","Mercury",145,"ng/g","ppb",2020
"2","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",228,"ng/g","ppb",2020
"3","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","Mercury",326,"ng/g","ppb",2020
"4","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","Mercury",123,"ng/g","ppb",2020
"5","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","Mercury",300,"ng/g","ppb",2020
"6","MI","Lake Erie","Sander vitreus","Walleye","Percidae","P","Mercury",153,"ng/g","ppb",2020
"7","NY","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","Mercury",119,"ng/g","ppb",2020
"8","NY","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",287,"ng/g","ppb",2020
"9","NY","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","Mercury",113,"ng/g","ppb",2020
"10","NY","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",202,"ng/g","ppb",2020
"11","NY","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",150,"ng/g","ppb",2020
"12","NY","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",288,"ng/g","ppb",2020
"13","NY","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",347,"ng/g","ppb",2020
"14","OH","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","Mercury",140,"ng/g","ppb",2020
"15","OH","Lake Erie","Ictalurus punctatus","Channel Catfish","Ictaluridae","BD","Mercury",35.3,"ng/g","ppb",2020
"16","OH","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","Mercury",206,"ng/g","ppb",2020
"17","OH","Lake Erie","Morone americana","White Perch","Moronidae","P","Mercury",136,"ng/g","ppb",2020
"18","OH","Lake Erie","Perca flavescens","Yellow Perch","Percidae","P","Mercury",62.4,"ng/g","ppb",2020
"19","OH","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","Mercury",123,"ng/g","ppb",2020
"20","OH","Lake Erie","Morone americana","White Perch","Moronidae","P","Mercury",51.9,"ng/g","ppb",2020
"21","OH","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","Mercury",90,"ng/g","ppb",2020
"22","OH","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","Mercury",72.3,"ng/g","ppb",2020
"23","OH","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","Mercury",43.1,"ng/g","ppb",2020
"24","OH","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","Mercury",90.4,"ng/g","ppb",2020
