"","State","Lake","Scientific.Name","Common.Name","Family","Niche","Chemical","Amount","Units.1","Units.2"
"1","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFBA",NA,"ng/g","ppb"
"2","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFPeA",NA,"ng/g","ppb"
"3","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFHxA",NA,"ng/g","ppb"
"4","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFHpA",NA,"ng/g","ppb"
"5","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFOA",NA,"ng/g","ppb"
"6","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFNA",0.422,"ng/g","ppb"
"7","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFDA",1.07,"ng/g","ppb"
"8","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFUnA",0.565,"ng/g","ppb"
"9","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFDoA",0.503,"ng/g","ppb"
"10","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFTrDA",NA,"ng/g","ppb"
"11","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFTeDA",0.336,"ng/g","ppb"
"12","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFBS",NA,"ng/g","ppb"
"13","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFPeS",NA,"ng/g","ppb"
"14","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFHxS",NA,"ng/g","ppb"
"15","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFHpS",NA,"ng/g","ppb"
"16","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFOS",18.3,"ng/g","ppb"
"17","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFNS",NA,"ng/g","ppb"
"18","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFDS",0.559,"ng/g","ppb"
"19","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFDoS",NA,"ng/g","ppb"
"20","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","4:2 FTS",NA,"ng/g","ppb"
"21","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","6:2 FTS",NA,"ng/g","ppb"
"22","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","8:2 FTS",NA,"ng/g","ppb"
"23","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFOSA",NA,"ng/g","ppb"
"24","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","N-MeFOSA",NA,"ng/g","ppb"
"25","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","N-EtFOSA",NA,"ng/g","ppb"
"26","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","MeFOSAA",0.111,"ng/g","ppb"
"27","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","EtFOSAA",NA,"ng/g","ppb"
"28","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","N-MeFOSE",NA,"ng/g","ppb"
"29","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","N-EtFOSE",NA,"ng/g","ppb"
