EPA Region,State,Lake Name,Site ID,EPA Sample ID,Species ID,Scientific Name,Common Name,Family,Niche,Analyte,CAS Number,Amount,EPA HH Screening Value,Over EPA HH SV?,"GL HH
1 Meal/Mo Screening Value","Over GL HH
1 Meal/Mo SV?","GL HH
1 Meal/Wk Screening Value","Over GL HH
1 Meal/Wk SV?",Unit 1,Unit 2,MDL,QL
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Mercury,7439-97-6,74.9,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
5,IL,Lake Michigan,NCCAGL10-QLM-10-05,560173,560173.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Mercury,7439-97-6,52.6,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
5,IL,Lake Michigan,NCCAGL10-QLM-10-20,560212,560212.1,Salmo trutta,Brown trout,Salmonidae,P,Mercury,7439-97-6,103.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
5,IN,Lake Michigan,NCCAGL10-1069,560204,560204.1,Aplodinotus grunniens,Freshwater drum,Sciaenidae,P,Mercury,7439-97-6,263.0,300,Does not exceed SV,220,Exceeds SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,IN,Lake Michigan,NCCAGL10-1088,560205,560205.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Mercury,7439-97-6,43.1,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
5,MI,Lake Superior,NCCAGL10-1003,560013,560013.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Mercury,7439-97-6,58.4,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
5,MI,Lake Superior,NCCAGL10-1006,560045,560045.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,124.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Superior,NCCAGL10-1007,560226,560226.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,518.0,300,Exceeds SV,220,Exceeds SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Superior,NCCAGL10-1008,560065,560065.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,161.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Superior,NCCAGL10-1010,560066,560066.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,76.6,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
5,MI,Lake Superior,NCCAGL10-1012,560303,560303.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,300.0,300,Exceeds SV,220,Exceeds SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Superior,NCCAGL10-1014,560225,560225.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,300.0,300,Exceeds SV,220,Exceeds SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Superior,NCCAGL10-1015,560001,560001.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Mercury,7439-97-6,226.0,300,Does not exceed SV,220,Exceeds SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Superior,NCCAGL10-1018,560019,560019.1,Salvelinus fontinalis X Salvelinus namaycush,Splake,Salmonidae,P,Mercury,7439-97-6,77.5,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
5,MI,Lake Superior,NCCAGL10-1021,560305,560305.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,71.6,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
5,MI,Lake Superior,NCCAGL10-1022,560229,560229.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,187.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Superior,NCCAGL10-1023,560227,560227.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,325.0,300,Exceeds SV,220,Exceeds SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Superior,NCCAGL10-1024,560083,560083.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,201.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Superior,NCCAGL10-1025,560215,560215.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,158.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Superior,NCCAGL10-1026,560214,560214.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,487.0,300,Exceeds SV,220,Exceeds SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Superior,NCCAGL10-1030,560179,560179.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,218.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Superior,NCCAGL10-1032,563109,563109.1,Prosopium cylindraceum,Round whitefish,Salmonidae,BD,Mercury,7439-97-6,60.1,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
5,MI,Lake Superior,NCCAGL10-1034,560221,560221.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,279.0,300,Does not exceed SV,220,Exceeds SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Superior,NCCAGL10-1035,560309,560309.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,86.2,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
5,MI,Lake Superior,NCCAGL10-1036,560230,560230.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,478.0,300,Exceeds SV,220,Exceeds SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Superior,NCCAGL10-1037,560304,560304.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,92.4,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
5,MI,Lake Superior,NCCAGL10-1040,560042,560042.1,Salmo trutta,Brown trout,Salmonidae,P,Mercury,7439-97-6,94.1,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
5,MI,Lake Superior,NCCAGL10-1043,560010,560010.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,270.0,300,Does not exceed SV,220,Exceeds SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Michigan,NCCAGL10-1046,560243,560243.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Mercury,7439-97-6,88.2,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
5,MI,Lake Michigan,NCCAGL10-1051,560002,560002.1,Prosopium cylindraceum,Round whitefish,Salmonidae,BD,Mercury,7439-97-6,61.2,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
5,MI,Lake Michigan,NCCAGL10-1054,560338,560338.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,86.2,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
5,MI,Lake Michigan,NCCAGL10-1055,560122,560122.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,146.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Michigan,NCCAGL10-1056,560247,560247.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Mercury,7439-97-6,39.6,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
5,MI,Lake Michigan,NCCAGL10-1058,560242,560242.1,Esox lucius,Northern pike,Esocidae,P,Mercury,7439-97-6,89.7,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
5,MI,Lake Michigan,NCCAGL10-1062,562419,562419.1,Catostomus commersonii,White sucker,Catostomidae,BD,Mercury,7439-97-6,48.2,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
5,MI,Lake Michigan,NCCAGL10-1064,560257,560257.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,178.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Michigan,NCCAGL10-1065,560120,560120.1,Sander vitreus,Walleye,Percidae,P,Mercury,7439-97-6,273.0,300,Does not exceed SV,220,Exceeds SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Michigan,NCCAGL10-1067,560245,560245.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Mercury,7439-97-6,48.3,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
5,MI,Lake Michigan,NCCAGL10-1068,560339,560339.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Mercury,7439-97-6,38.7,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
5,MI,Lake Michigan,NCCAGL10-1072,560241,560241.1,Oncorhynchus kisutch,Coho salmon,Salmonidae,P,Mercury,7439-97-6,92.4,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
5,MI,Lake Michigan,NCCAGL10-1073,560246,560246.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Mercury,7439-97-6,155.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Michigan,NCCAGL10-1074,560086,560086.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Mercury,7439-97-6,201.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Michigan,NCCAGL10-1077,560015,560015.1,Sander vitreus,Walleye,Percidae,P,Mercury,7439-97-6,386.0,300,Exceeds SV,220,Exceeds SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Michigan,NCCAGL10-1078,560240,560240.1,Sander vitreus,Walleye,Percidae,P,Mercury,7439-97-6,780.0,300,Exceeds SV,220,Exceeds SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Michigan,NCCAGL10-1083,560151,560151.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Mercury,7439-97-6,160.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Michigan,NCCAGL10-1084,560244,560244.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Mercury,7439-97-6,37.9,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
5,MI,Lake Michigan,NCCAGL10-1085,560157,560157.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Mercury,7439-97-6,140.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Michigan,NCCAGL10-1090,560152,560152.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Mercury,7439-97-6,140.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Huron,NCCAGL10-1091,564989,564989.1,Sander vitreus,Walleye,Percidae,P,Mercury,7439-97-6,203.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Huron,NCCAGL10-1093,560060,560060.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,130.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Huron,NCCAGL10-1094,560321,560321.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,295.0,300,Does not exceed SV,220,Exceeds SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Huron,NCCAGL10-1096,560067,560067.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,132.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Huron,NCCAGL10-1097,560330,560330.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,250.0,300,Does not exceed SV,220,Exceeds SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Huron,NCCAGL10-1099,560012,560012.1,Aplodinotus grunniens,Freshwater drum,Sciaenidae,P,Mercury,7439-97-6,74.1,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
5,MI,Lake Huron,NCCAGL10-1100,560081,560081.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,126.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Huron,NCCAGL10-1101,560327,560327.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,246.0,300,Does not exceed SV,220,Exceeds SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Huron,NCCAGL10-1102,561929,561929.1,Ictalurus punctatus,Channel catfish,Ictaluridae,BD,Mercury,7439-97-6,185.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Huron,NCCAGL10-1103,560123,560123.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Mercury,7439-97-6,222.0,300,Does not exceed SV,220,Exceeds SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Huron,NCCAGL10-1104,560072,560072.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,101.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
5,MI,Lake Huron,NCCAGL10-1105,560324,560324.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,130.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Huron,NCCAGL10-1106,560023,560023.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Mercury,7439-97-6,93.2,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
