EPA Region,State,Lake Name,Site ID,EPA Sample ID,Species ID,Scientific Name,Common Name,Family,Niche,% Lipids,Analyte,CAS Number,Amount,HH Screening Value,Over HH SV?,Unit 1,Unit 2,MDL,QL,Lab Qualifier Flag,SCC Code,Comments,Sort order
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-7,171977-44-9,,,,ng/g,ppb,0.000460,0.002250,U,,,1
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-8/BDE-11,147217-71-8/6903-63-5,,,,ng/g,ppb,0.000470,0.004500,U,,,2
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-10,51930-04-2,,,,ng/g,ppb,0.000330,0.002250,U,,,3
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-12/BDE-13,189084-59-1/3694-71-7,,,,ng/g,ppb,0.000580,0.004500,U,,,4
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-15,2050-47-7,0.00107,,,ng/g,ppb,0.000120,0.002250,J,J,Estimated,5
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-17/BDE-25,147217-75-2/147217-77-4,0.00294,,,ng/g,ppb,0.000480,0.004500,MJ,J,Estimated,6
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-28/BDE-33,41318-75-6/147217-78-5,0.04330,,,ng/g,ppb,0.000500,0.004500,,,,7
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-30,155999-95-4,0.00810,,,ng/g,ppb,0.000570,0.002250,MR,"LIAR, J","Low Ion Abundance Ratio, Estimated",8
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-32,189084-60-4,,,,ng/g,ppb,0.000250,0.002250,U,,,9
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-35,147217-80-9,0.00040,,,ng/g,ppb,0.000150,0.002250,MJR,"LIAR, J","Low Ion Abundance Ratio, Estimated",10
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-37,147217-81-0,0.00240,,,ng/g,ppb,0.000210,0.002250,MR,"HIAR, J","High Ion Abundance Ratio, Estimated",11
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-47,5436-43-1,5.24000,,,ng/g,ppb,0.000960,0.002250,,"B, RNAF","Blank Contamination, Result Not Affected",12
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-49,243982-82-3,0.11000,,,ng/g,ppb,0.000290,0.002250,,,,13
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-51,189084-57-9,0.04190,,,ng/g,ppb,0.000280,0.002250,,,,14
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-66,189084-61-5,0.18300,,,ng/g,ppb,0.000321,0.002250,,,,15
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-71,147217-81-0,0.00139,,,ng/g,ppb,0.000240,0.002250,MJ,J,Estimated,16
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-75,189084-63-7,0.00235,,,ng/g,ppb,0.000300,0.002250,,,,17
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-77,93703-48-1,0.00503,,,ng/g,ppb,0.000270,0.002250,,,,18
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-79,446254-48-4,0.03040,,,ng/g,ppb,0.000200,0.002250,M,,,19
5,IL,Lake Michigan,NCCAGL10-QLM-10-01,560171,560171.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,0.17,BDE-85,182346-21-0,,,,ng/g,ppb,0.000550,0.003375,U,,,20
