EPA Region,State,Lake,Site ID,EPA Sample ID,Species ID,Scientific Name,Common Name,Family,Niche,Analyte,Lipid Number,CAS Number,Amount,Unit 1,Unit 2,MDL,QL,Lab Qualifier Flag,SCC Code,Comments,Sort Oder
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Decanoic acid,C10:0,334-48-5,,ug/g,ppm,0.24,0.71,U,,,1
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Undecanoic acid,C11:0,112-37-8,,ug/g,ppm,0.24,0.71,U,,,2
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Dodecanoic acid,C12:0,143-07-7,,ug/g,ppm,0.44,1.32,U,,,3
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Tridecanoic acid,C13:0,638-53-9,,ug/g,ppm,0.09,0.27,U,,,4
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Myristic acid,C14:0,544-63-8,174.55,ug/g,ppm,1.89,5.68,,,,5
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Myristoleic acid,C14:1,544-64-9,16.02,ug/g,ppm,0.18,0.54,,,,6
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Pentadecanoic acid,C15:0,1002-84-2,36.38,ug/g,ppm,0.36,1.09,,,,7
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,cis-10-Pentadecenoic acid,C15:1,84743-29-3,,ug/g,ppm,0.09,0.27,U,,,8
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Palmitic acid,C16:0,57-10-3,1848.55,ug/g,ppm,6.72,20.20,,,,9
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,cis-7-Hexadecenoic acid,C16:1,629-57-2,773.14,ug/g,ppm,7.14,21.40,,,,10
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Heptadecanoic acid,C17:0,506-12-7,75.57,ug/g,ppm,0.33,0.99,,,,11
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,cis-10-Heptadecenoic acid,C17:1,62528-80-7,,ug/g,ppm,0.09,0.27,U,,,12
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Stearic acid,C18:0,57-11-4,527.44,ug/g,ppm,0.69,2.08,,,,13
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Oleic acid,C18:1n9 cis,112-80-1,729.80,ug/g,ppm,10.60,31.80,,,,14
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Elaidic acid,C18:1n9 trans,112-79-8,,ug/g,ppm,0.30,0.89,U,,,15
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,cis-Vaccenic acid,C18:1w7,693-72-1,478.36,ug/g,ppm,2.26,6.79,NNR (C18:1n9 cis),"NASA, J","No authentic standard available for calibration, result is estimated",16
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Linoleic acid,C18:2n6 cis,60-33-3,129.91,ug/g,ppm,1.60,4.81,,,,17
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Linolelaidic acid,C18:2 trans,506-21-8,,ug/g,ppm,0.93,2.80,U,,,18
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Linolenic acid,C18:3n3,463-40-1,,ug/g,ppm,3.50,10.50,U,,,19
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,gamma-Linolenic acid,C18:3n6,506-26-3,23.32,ug/g,ppm,0.34,1.01,,,,20
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Octadecatetraenoic acid,C18:4n3,2091-28-3,,ug/g,ppm,2.49,7.47,U,,,21
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Arachidic acid,C20:0,506-30-9,13.59,ug/g,ppm,0.09,0.27,,,,22
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Eicosenoic acid,C20:1n9,29204-02-2,,ug/g,ppm,3.50,10.50,U,,,23
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Eicosadienoic acid,C20:2,2091-39-6,24.34,ug/g,ppm,0.16,0.48,,,,24
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Eicosatrienoic acid,C20:3n3,2091-27-2,,ug/g,ppm,2.04,6.13,U,,,25
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Dihomo-gamma-linolenic acid,C20:3n6,1783-84-2,23.92,ug/g,ppm,0.32,0.96,,,,26
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Arachidonic acid,C20:4n6,506-32-1,589.05,ug/g,ppm,0.14,0.41,,,,27
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Eicosapentaenoic acid,C20:5n3,10417-94-4,1011.62,ug/g,ppm,0.20,0.59,,,,28
