EPA Region,State,Lake,Site ID,EPA Sample ID,Species ID,Scientific Name,Common Name,Family,Niche,Analyte,CAS Number,Amount,Unit 1,Unit 2,MDL,QL
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Mercury,7439-97-6,302.0,ng/g,ppb,0.05,0.8
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Mercury,7439-97-6,144.0,ng/g,ppb,0.05,0.8
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Mercury,7439-97-6,362.0,ng/g,ppb,0.05,0.8
5,MI,Lake Huron,GLNS15-1197,795814,795814.1,Morone americana,White perch,Moronidae,P,Mercury,7439-97-6,257.0,ng/g,ppb,0.05,0.8
5,MI,Lake Huron,GLNS15-1199,807254,807254.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,37.7,ng/g,ppb,0.05,0.8
5,MI,Lake Huron,GLNS15-1200,807234,807234.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,39.1,ng/g,ppb,0.05,0.8
5,MI,Lake Huron,GLNS15-1201,795834,795834.1,Aplodinotus grunniens,Freshwater drum,Sciaenidae,P,Mercury,7439-97-6,63.0,ng/g,ppb,0.05,0.8
5,MI,Lake Huron,GLNS15-1202,807954,807954.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,227.0,ng/g,ppb,0.05,0.8
5,MI,Lake Huron,GLNS15-1203,794414,794414.1,Sander vitreus,Walleye,Percidae,P,Mercury,7439-97-6,143.0,ng/g,ppb,0.05,0.8
5,MI,Lake Huron,GLNS15-1205,780134,780134.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,188.0,ng/g,ppb,0.05,0.8
5,MI,Lake Huron,GLNS15-1206,814374,814374.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Mercury,7439-97-6,115.0,ng/g,ppb,0.05,0.8
5,MI,Lake Huron,GLNS15-1207,776334,776334.1,Aplodinotus grunniens,Freshwater drum,Sciaenidae,P,Mercury,7439-97-6,48.8,ng/g,ppb,0.05,0.8
5,MI,Lake Huron,GLNS15-1208,806814,806814.1,Sander vitreus,Walleye,Percidae,P,Mercury,7439-97-6,305.0,ng/g,ppb,0.05,0.8
5,MI,Lake Huron,GLNS15-1209,807774,807774.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,128.0,ng/g,ppb,0.05,0.8
5,MI,Lake Huron,GLNS15-1210,814314,814314.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Mercury,7439-97-6,111.0,ng/g,ppb,0.05,0.8
5,MI,Lake Huron,GLNS15-1211,795494,795494.1,Aplodinotus grunniens,Freshwater drum,Sciaenidae,P,Mercury,7439-97-6,128.0,ng/g,ppb,0.05,0.8
5,MI,Lake Huron,GLNS15-1212,793894,793894.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,265.0,ng/g,ppb,0.05,0.8
5,MI,Lake Michigan,GLNS15-1245,794614,794614.1,Catostomus commersonii,White sucker,Catostomidae,BD,Mercury,7439-97-6,62.1,ng/g,ppb,0.05,0.8
5,MI,Lake Michigan,GLNS15-1246,795174,795174.1,Oncorhynchus kisutch,Coho salmon,Salmonidae,P,Mercury,7439-97-6,29.2,ng/g,ppb,0.05,0.8
5,MI,Lake Michigan,GLNS15-1247,777014,777014.1,Catostomus commersonii,White sucker,Catostomidae,BD,Mercury,7439-97-6,42.8,ng/g,ppb,0.05,0.8
5,MI,Lake Michigan,GLNS15-1248,776954,776954.1,Catostomus commersonii,White sucker,Catostomidae,BD,Mercury,7439-97-6,105.0,ng/g,ppb,0.05,0.8
5,MI,Lake Michigan,GLNS15-1249,776914,776914.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,136.0,ng/g,ppb,0.05,0.8
5,MI,Lake Michigan,GLNS15-1250,794774,794774.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Mercury,7439-97-6,297.0,ng/g,ppb,0.05,0.8
5,MI,Lake Michigan,GLNS15-1252,795214,795214.1,Perca flavescens,Yellow perch,Percidae,P,Mercury,7439-97-6,85.1,ng/g,ppb,0.05,0.8
5,MI,Lake Michigan,GLNS15-1253,795114,795114.1,Aplodinotus grunniens,Freshwater drum,Sciaenidae,P,Mercury,7439-97-6,267.0,ng/g,ppb,0.05,0.8
5,MI,Lake Michigan,GLNS15-1254,807914,807914.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Mercury,7439-97-6,62.7,ng/g,ppb,0.05,0.8
5,MI,Lake Michigan,GLNS15-1255,795134,795134.1,Perca flavescens,Yellow perch,Percidae,P,Mercury,7439-97-6,37.6,ng/g,ppb,0.05,0.8
5,MI,Lake Superior,GLNS15-1335,795294,795294.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,120.0,ng/g,ppb,0.05,0.8
5,MI,Lake Superior,GLNS15-1336,807434,807434.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Mercury,7439-97-6,38.5,ng/g,ppb,0.05,0.8
5,MI,Lake Superior,GLNS15-1338,807494,807494.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Mercury,7439-97-6,47.9,ng/g,ppb,0.05,0.8
5,MI,Lake Superior,GLNS15-1339,794974,794974.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Mercury,7439-97-6,81.0,ng/g,ppb,0.05,0.8
5,MI,Lake Superior,GLNS15-1340,778454,778454.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Mercury,7439-97-6,26.5,ng/g,ppb,0.05,0.8
5,MI,Lake Superior,GLNS15-1341,806774,806774.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Mercury,7439-97-6,44.0,ng/g,ppb,0.05,0.8
5,MI,Lake Superior,GLNS15-1343,777914,777914.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Mercury,7439-97-6,61.5,ng/g,ppb,0.05,0.8
