EPA Region,State,Lake,Site ID,EPA Sample ID,Species ID,Species Name,Common Name,Family,Niche,Lipid (%),Analyte ,CAS Number,Amount,TEF,Congener TEQ,Unit 1,Unit 2,MDL,QL,Lab Qualifier Flag,SCC Code,Comments,Sort Order
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,"2,3,7,8-TCDD",1746-01-6,0.022,1.0000,0.0220000,pg/g,ppt,0.0132,0.08,J,J,Estimated,1
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,"1,2,3,7,8-PeCDD",40321-76-4,0.037,1.0000,0.0370000,pg/g,ppt,0.0188,0.40,K J,"LIAR, J; J","Low Ion Abundance Ratio, Estimated; Estimated",2
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,"1,2,3,4,7,8-HxCDD",39227-28-6,0.025,0.1000,0.0025000,pg/g,ppt,0.0192,0.40,J,J,Estimated,3
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,"1,2,3,6,7,8-HxCDD",57653-85-7,,0.1000,0.0000000,pg/g,ppt,0.0264,0.40,U,,,4
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,"1,2,3,7,8,9-HxCDD",19408-74-3,0.030,0.1000,0.0030000,pg/g,ppt,0.0236,0.40,K J,"LIAR, J; J","Low Ion Abundance Ratio, Estimated; Estimated",5
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,"1,2,3,4,6,7,8-HpCDD",35822-46-9,,0.0100,0.0000000,pg/g,ppt,0.0200,0.40,B J,"B, RNON","Blank Contamination, Result Reported as a Non-detect",6
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,OCDD,3268-87-9,0.178,0.0003,0.0000534,pg/g,ppt,0.0559,0.80,K J,"LIAR, J; J","Low Ion Abundance Ratio, Estimated; Estimated",7
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,"2,3,7,8-TCDF",51207-31-9,0.144,0.1000,0.0144000,pg/g,ppt,0.0112,0.08,,CONF,Result confirmed on method-specified second GC column,8
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,"1,2,3,7,8-PeCDF",57117-41-6,0.039,0.0300,0.0011700,pg/g,ppt,0.0212,0.40,K J,"HIAR, J; J","High Ion Abundance Ratio, Estimated; Estimated",9
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,"2,3,4,7,8-PeCDF",57117-31-4,0.089,0.3000,0.0267000,pg/g,ppt,0.0188,0.40,J,J,Estimated,10
