EPA Region,State,Lake,Site ID,EPA Sample ID,Species ID,Scientific Name,Common Name,Family,Niche,Lipid (%),Analyte,CAS Number,Amount,Unit 1,Unit 2,MDL,QL,Lab Qualifier Flag,SCC Code,Comments,Sort Order
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-1,2051-60-7,0.002840,ng/g,ppb,0.000059,0.000498,,,,1
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-2,2051-61-8,0.000269,ng/g,ppb,0.000091,0.000498,J,J,Estimated,2
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-3,2051-62-9,0.000683,ng/g,ppb,0.000098,0.000498,,,,3
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-4,13029-08-8,0.017600,ng/g,ppb,0.000101,0.000500,,,,4
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-5,16605-91-7,0.000497,ng/g,ppb,0.000068,0.000498,J,J,Estimated,5
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-6,25569-80-6,0.005270,ng/g,ppb,0.000111,0.000500,,,,6
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-7,33284-50-3,,ng/g,ppb,0.000086,0.000498,U,,,7
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-8,34883-43-7,0.021200,ng/g,ppb,0.000098,0.000500,,,,8
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-9,34883-39-1,0.001560,ng/g,ppb,0.000101,0.000498,,,,9
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-10,33146-45-1,0.000848,ng/g,ppb,0.000080,0.000498,,,,10
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-11,2050-67-1,0.006700,ng/g,ppb,0.000331,0.000499,B,"B, RMAX","Blank Contamination, Result is a Maximum Value",11
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-12/PCB-13,,0.000433,ng/g,ppb,0.000198,0.000996,J,J,Estimated,12
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,0.91,PCB-14,34883-41-5,,ng/g,ppb,0.000094,0.000498,U,,,13
