EPA Region,State,Lake,Site ID,EPA Sample ID,Species ID,Scientific Name,Common Name,Family,Niche,Analyte,CAS Number,Amount,Unit 1,Unit 2,MDL,QL,Lab Qualifier Flag,SCC Code,Comments,Sort Order
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Perfluorobutanoate (PFBA),375-22-4,,ng/g,ppb,0.21,0.25,U,,,1
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Perfluoropentanoate (PFPeA),2706-90-3,,ng/g,ppb,0.24,0.25,U,,,2
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Perfluorohexanoate (PFHxA),307-24-4,,ng/g,ppb,0.13,0.25,U,,,3
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Perfluoroheptanoate (PFHpA),375-85-9,,ng/g,ppb,0.13,0.25,U,,,4
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Perfluorooctanoate (PFOA),335-67-1,,ng/g,ppb,0.23,0.25,U,,d ,5
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Perfluorononanoate (PFNA),375-95-1,,ng/g,ppb,0.12,0.25,U,,,6
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Perfluorodecanoate (PFDA),335-76-2,0.83,ng/g,ppb,0.16,0.25,,,,7
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Perfluoroundecanoate (PFUnA),2058-94-8,1.04,ng/g,ppb,0.17,0.25,,,,8
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Perfluorododecanoate (PFDoA),307-55-1,0.56,ng/g,ppb,0.09,0.25,,,,9
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Perfluorobutane sulfonate (PFBS),29420-49-3,,ng/g,ppb,0.36,0.50,U,,,10
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Perfluorohexane sulfonate (PFHxS),355-46-4,,ng/g,ppb,0.63,1.25,U,,,11
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Perfluorooctanesulfonate (PFOS),1763-23-1,12.50,ng/g,ppb,0.52,1.25,,,,12
5,IN,Lake Michigan,GLNS15-2051,778474,778474.1,Perca flavescens,Yellow perch,Percidae,P,Perfluorooctane sulfonamide (PFOSA),754-91-6,,ng/g,ppb,0.13,0.25,U,,,13
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Perfluorobutanoate (PFBA),375-22-4,,ng/g,ppb,0.21,0.25,U,,,1
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Perfluoropentanoate (PFPeA),2706-90-3,,ng/g,ppb,0.24,0.25,U,,,2
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Perfluorohexanoate (PFHxA),307-24-4,,ng/g,ppb,0.13,0.25,U,,,3
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Perfluoroheptanoate (PFHpA),375-85-9,,ng/g,ppb,0.13,0.25,U,,,4
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Perfluorooctanoate (PFOA),335-67-1,0.27,ng/g,ppb,0.23,0.25,,,,5
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Perfluorononanoate (PFNA),375-95-1,0.17,ng/g,ppb,0.12,0.25,J,J,Estimated,6
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Perfluorodecanoate (PFDA),335-76-2,5.07,ng/g,ppb,0.16,0.25,,,,7
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Perfluoroundecanoate (PFUnA),2058-94-8,3.99,ng/g,ppb,0.17,0.25,,,,8
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Perfluorododecanoate (PFDoA),307-55-1,1.06,ng/g,ppb,0.09,0.25,,,,9
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Perfluorobutane sulfonate (PFBS),29420-49-3,,ng/g,ppb,0.36,0.50,U,,,10
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Perfluorohexane sulfonate (PFHxS),355-46-4,,ng/g,ppb,0.63,1.25,U,,,11
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Perfluorooctanesulfonate (PFOS),1763-23-1,64.40,ng/g,ppb,0.52,1.25,,,,12
5,MI,Lake Erie,GLNS15-1156,776254,776254.1,Morone americana,White perch,Moronidae,P,Perfluorooctane sulfonamide (PFOSA),754-91-6,,ng/g,ppb,0.13,0.25,U,,,13
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Perfluorobutanoate (PFBA),375-22-4,,ng/g,ppb,0.21,0.25,U,,,1
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Perfluoropentanoate (PFPeA),2706-90-3,1.13,ng/g,ppb,0.24,0.25,,,,2
