EPA Region,State,Lake,Site ID,EPA Sample ID,Species ID,Scientific Name,Common Name,Family,Niche,Analyte,Lipid Number,CAS Number,Amount,Units,MDL,QL,Lab Flag,SCC Code,Comments,Sort Oder
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Decanoic acid,C10:0,334-48-5,,µg/g,3.00,9.00,,,,1
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Undecanoic acid,C11:0,112-37-8,,µg/g,3.00,9.00,,,,2
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Dodecanoic acid,C12:0,143-07-7,,µg/g,3.00,9.00,,,,3
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Tridecanoic acid,C13:0,638-53-9,,µg/g,0.09,0.27,,,,4
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Myristic acid,C14:0,544-63-8,1109.35,µg/g,1.89,5.67,,,,5
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Myristoleic acid,C14:1,544-64-9,119.22,µg/g,0.18,0.54,,,,6
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Pentadecanoic acid,C15:0,1002-84-2,172.86,µg/g,0.36,1.08,,"HSRM, J","High SRM recovery, result is estimated",7
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,cis-10-Pentadecenoic acid,C15:1,84743-29-3,,µg/g,0.09,0.27,,,,8
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Palmitic acid,C16:0,57-10-3,8440.64,µg/g,6.72,20.16,,"HSRM, J","High SRM recovery, result is estimated",9
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,cis-7-Hexadecenoic acid,C16:1,629-57-2,8735.44,µg/g,7.14,21.42,,,,10
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Heptadecanoic acid,C17:0,506-12-7,300.05,µg/g,0.33,0.99,,"HSRM, J","High SRM recovery, result is estimated",11
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,cis-10-Heptadecenoic acid,C17:1,62528-80-7,,µg/g,0.09,0.27,,,,12
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Stearic acid,C18:0,57-11-4,1915.72,µg/g,0.69,2.07,,"HSRM, J","High SRM recovery, result is estimated",13
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Oleic acid,C18:1n9 cis,112-80-1,10221.37,µg/g,10.60,31.80,,,,14
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Elaidic acid,C18:1n9 trans,112-79-8,169.05,µg/g,0.30,0.90,,,,15
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,cis-Vaccenic acid,C18:1w7,693-72-1,2992.71,µg/g,2.26,6.78,,,,16
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Linoleic acid,C18:2n6 cis,60-33-3,1906.13,µg/g,1.60,4.80,,"HSRM, J","High SRM recovery, result is estimated",17
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Linolelaidic acid,C18:2 trans,506-21-8,,µg/g,0.93,2.79,,,,18
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Linolenic acid,C18:3n3,463-40-1,768.84,µg/g,3.50,10.50,,"HSRM, J","High SRM recovery, result is estimated",19
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,gamma-Linolenic acid,C18:3n6,506-26-3,92.73,µg/g,0.34,1.02,,,,20
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Octadecatetraenoic acid,C18:4n3,2091-28-3,233.41,µg/g,3.50,10.50,,"HSRM, J","High SRM recovery, result is estimated",21
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Arachidic acid,C20:0,506-30-9,105.08,µg/g,0.09,0.27,,,,22
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Eicosenoic acid,C20:1n9,29204-02-2,595.2,µg/g,3.50,10.50,,"HSRM, J","High SRM recovery, result is estimated",23
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Eicosadienoic acid,C20:2,2091-39-6,122.68,µg/g,0.16,0.48,,"HSRM, J","High SRM recovery, result is estimated",24
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Eicosatrienoic acid,C20:3n3,2091-27-2,,µg/g,2.04,6.12,,,,25
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Dihomo-gamma-linolenic acid,C20:3n6,1783-84-2,79.69,µg/g,0.32,0.96,,,,26
