EPA Region,State,Lake,EPA Site ID,EPA Sample ID,Species ID,Scientific Name,Common Name,Family,Niche,Tissue Type,% Lipids,Method,Analyte,CAS Number,Amount,MDL,QL,Units 1,Units 2,Lab Flag,SCC Code,Comments
5,MI,Lake Erie,NGL20_MI-10001,150816,150816.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Fillet,1.13,1631E,Mercury,7439-97-6,145.0,0.09,4.0,ng/g,ppb,,,
5,MI,Lake Erie,NGL20_MI-10002,150576,150576.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Fillet,1.20,1631E,Mercury,7439-97-6,228.0,0.09,4.0,ng/g,ppb,,,
5,MI,Lake Erie,NGL20_MI-10003,157956,157956.1,Morone chrysops,White Bass,Moronidae,P,Fillet,5.10,1631E,Mercury,7439-97-6,326.0,0.09,4.0,ng/g,ppb,,,
5,MI,Lake Erie,NGL20_MI-10004,157796,157796.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Fillet,2.80,1631E,Mercury,7439-97-6,123.0,0.09,4.0,ng/g,ppb,,,
5,MI,Lake Erie,NGL20_MI-10005,157816,157816.1,Morone chrysops,White Bass,Moronidae,P,Fillet,4.70,1631E,Mercury,7439-97-6,300.0,0.09,4.0,ng/g,ppb,,,
5,MI,Lake Erie,NGL20_MI-10006,157916,157916.1,Sander vitreus,Walleye,Percidae,P,Fillet,1.30,1631E,Mercury,7439-97-6,153.0,0.09,4.0,ng/g,ppb,,,
2,NY,Lake Erie,NGL20_NY-10001,150876,150876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Fillet,3.00,1631E,Mercury,7439-97-6,119.0,0.09,4.0,ng/g,ppb,,,
2,NY,Lake Erie,NGL20_NY-10002,156776,156776.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Fillet,3.80,1631E,Mercury,7439-97-6,287.0,0.09,4.0,ng/g,ppb,,,
2,NY,Lake Erie,NGL20_NY-10003,157876,157876.1,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,P,Fillet,5.60,1631E,Mercury,7439-97-6,113.0,0.09,4.0,ng/g,ppb,,,
2,NY,Lake Erie,NGL20_NY-10005,153156,153156.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Fillet,2.90,1631E,Mercury,7439-97-6,202.0,0.09,4.0,ng/g,ppb,,,
2,NY,Lake Erie,NGL20_NY-10006,153376,153376.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Fillet,3.70,1631E,Mercury,7439-97-6,150.0,0.09,4.0,ng/g,ppb,,,
