LAKE ,STATE ,SITE ID ,LATITUDE ,LONGITUDE 
Lake Erie ,MI ,NGL20_MI-10001 ,41.855488 ,-83.371811 
Lake Erie ,MI ,NGL20_MI-10002 ,41.978389 ,-83.226068 
Lake Erie ,MI ,NGL20_MI-10003 ,41.775408 ,-83.424598 
Lake Erie ,MI ,NGL20_MI-10004 ,41.928531 ,-83.250994 
Lake Erie ,MI ,NGL20_MI-10005 ,41.920233 ,-83.297047 
Lake Erie ,MI ,NGL20_MI-10006 ,41.739698 ,-83.421714 
Lake Erie ,NY ,NGL20_NY-10001 ,42.732124 ,-78.970972 
Lake Erie ,NY ,NGL20_NY-10002 ,42.538288 ,-79.275335 
Lake Erie ,NY ,NGL20_NY-10003 ,42.681456 ,-79.086131 
Lake Erie ,NY ,NGL20_NY-10004 ,42.504435 ,-79.383478 
Lake Erie ,NY ,NGL20_NY-10005 ,42.753035 ,-78.929682 
Lake Erie ,NY ,NGL20_NY-10006 ,42.645265 ,-79.138888 
Lake Erie ,NY ,NGL20_NY-10007 ,42.771058 ,-78.910310 
Lake Erie ,NY ,NGL20_NY-10008 ,42.318041 ,-79.692515 
Lake Erie ,NY ,NGL20_NY-10009 ,42.358800 ,-79.581425 
Lake Erie ,NY ,NGL20_NY-10010 ,42.566027 ,-79.158291 
Lake Erie ,NY ,NGL20_NY-10011 ,42.730634 ,-79.073758 
Lake Erie ,OH ,NGL20_OH-10001 ,41.746250 ,-83.379173 
Lake Erie ,OH ,NGL20_OH-10002 ,41.510475 ,-82.139115 
Lake Erie ,OH ,NGL20_OH-10003 ,41.500632 ,-82.214543 
Lake Erie ,OH ,NGL20_OH-10004 ,41.975683 ,-80.615216 
Lake Erie ,OH ,NGL20_OH-10005 ,41.633941 ,-83.168247 
Lake Erie ,OH ,NGL20_OH-10006 ,41.428897 ,-82.581778 
Lake Erie ,OH ,NGL20_OH-10007 ,41.488651 ,-81.741749 
Lake Erie ,OH ,NGL20_OH-10008 ,41.566691 ,-82.765201 
Lake Erie ,OH ,NGL20_OH-10009 ,41.779146 ,-81.271315 
Lake Erie ,OH ,NGL20_OH-10010 ,41.919821 ,-80.859975 
Lake Erie ,OH ,NGL20_OH-10011 ,41.712038 ,-83.249070 
Lake Erie ,OH ,NGL20_OH-10012 ,41.552818 ,-82.700842 
Lake Erie ,OH ,NGL20_OH-10013 ,41.472286 ,-82.692721 
Lake Erie ,OH ,NGL20_OH-10014 ,41.837711 ,-81.051557 
Lake Erie ,OH ,NGL20_OH-10015 ,41.426038 ,-82.438730 
Lake Erie ,OH ,NGL20_OH-10016 ,41.549394 ,-82.924082 
Lake Erie ,OH ,NGL20_OH-10017 ,41.961265 ,-80.629612 
Lake Erie ,OH ,NGL20_OH-10018 ,41.516712 ,-81.951277 
Lake Erie ,OH ,NGL20_OH-10019 ,41.569624 ,-82.744472 
